,tempo,valence
1256,124.0,0.23
1257,127.0,0.14
1258,174.0,0.78
1259,155.0,0.73
1260,84.0,0.35
1261,114.0,0.96
1262,94.0,0.73
1263,104.0,0.44
1264,167.0,0.22
1265,116.0,0.64
1266,166.0,0.96
1267,138.0,0.49
1268,135.0,0.31
1269,190.0,0.37
1270,74.0,0.65
1271,77.0,0.29
1272,136.0,0.1
1273,128.0,0.52
1274,136.0,0.13
1275,148.0,0.6
1276,105.0,0.84
1277,122.0,0.31
1278,144.0,0.18
1279,142.0,0.54
1280,100.0,0.05
1281,126.0,0.59
1282,144.0,0.1
1283,118.0,0.11
1284,150.0,0.12
1285,162.0,0.21
1286,145.0,0.3
1287,100.0,0.42
1288,90.0,0.33
1289,148.0,0.34
1290,81.0,0.17
1291,148.0,0.31
1292,103.0,0.56
1293,140.0,0.39
1294,150.0,0.29
1295,83.0,0.55
1296,152.0,0.17
1297,125.0,0.07
1298,160.0,0.13
1299,140.0,0.06
1300,146.0,0.45
1301,129.0,0.32
1302,130.0,0.36
1303,115.0,0.23
1304,140.0,0.14
1305,140.0,0.26
1306,99.0,0.18
1307,94.0,0.15
1308,125.0,0.04
1309,170.0,0.2
1310,150.0,0.19
1311,175.0,0.12
1312,120.0,0.29
1313,118.0,0.11
1314,116.0,0.15
1315,155.0,0.19
1316,130.0,0.24
1317,128.0,0.15
1318,100.0,0.1
1319,114.0,0.13
1320,130.0,0.15
1321,140.0,0.2
1322,150.0,0.05
1323,95.0,0.11
1324,133.0,0.14
1325,161.0,0.1
1326,139.0,0.07
1327,108.0,0.32
1328,120.0,0.19
1329,113.0,0.16
1330,120.0,0.16
1331,130.0,0.05
1332,145.0,0.09
1333,160.0,0.17
1334,136.0,0.16
1335,102.0,0.45
1336,100.0,0.13
1337,112.0,0.25
1338,102.0,0.37
1339,200.0,0.11
1340,110.0,0.17
1341,129.0,0.27
1342,120.0,0.15
1343,113.0,0.25
1344,114.0,0.24
1345,140.0,0.16
1346,117.0,0.43
1347,116.0,0.37
1348,97.0,0.12
1349,135.0,0.06
1350,140.0,0.33
1351,110.0,0.57
1352,140.0,0.23
1353,128.0,0.33
1354,140.0,0.49
1355,175.0,0.22
1356,101.0,0.06
1357,146.0,0.07
1358,94.0,0.4
